A,B,Cin,Sum,Cout,Sum Delay,Cout Delay
,0.1995ns,,,0.2646ns,,65.17ps
0.59995ns,,,,0.6681ns,,68.236ps
0.79995ns,,,,0.85ns,,50.148ps
0.99995ns,,,,1.07434ns,,74.39ps
1.19995ns,,,,1.252ns,,52.05ps
,,1.39995ns,1.45952ns,,59.57ps,
,1.59995ns,,1.70275ns,1.66584ns,102.8ps,65.89ps
,,1.79995ns,1.9ns,1.86852ns,100.05ps,68.57ps
1.99995ns,,,2.0981ns,2.06694ns,98.15ps,66.99ps
,,2.19995ns,2.3ns,,100.05ps,
,2.39995ns,,2.5013ns,2.47236ns,101.35ps,72.41ps
,,2.59995ns,2.6789ns,,78.95ps,
,2.79995ns,,,2.87634ns,,76.39ps
